date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-29,197.149994,199.600006,193.949997,197.050003,180.166153,1539314,197.39,6074.799805,1507.839966,13954.419922,3153.659912,0.09999099999998862,5.650009000000011,45.0261748855549,208.349,188.396,198.3725006,,198.30384721944273,0,0,0,0,0,0,0,0,0.0,2.4676813053847724e-05,0.005105995096772675,0.005221913352771335,-0.00020294106142593193,1.0,0.0,2013-01-29,194.88669693163916,Tuesday,3,197.050003,5.650009000000011,5.41862120633707,59.393866666666575,44.370922766520835,56.08625391350257,56.08625391350257,62.10317769769014,62.10317769769014,44.05240634512742,44.05240634512742,197.65585639807506,197.9218944466773,-0.26603804860224045,-0.3827192182988913,0.23336233939330164
2013-01-30,197.050003,202.399994,196.5,200.25,183.091949,2181662,198.96,6049.899902,1501.959961,13910.419922,3142.310059,0.0,5.899993999999992,45.87628610904296,207.807,188.538,198.17250059999998,,198.48919510330535,0,0,0,0,1,0,0,0,0.016239432053588798,-0.004098884539290526,-0.0038996214005379004,-0.003153122827458499,-0.0035989464040852015,1.0,-3.9619149790444386,2013-01-30,194.73182115828314,Wednesday,4,197.050003,5.899993999999992,5.462195816294509,24.712583234224027,75.28741676577597,62.48664153092703,62.48664153092703,62.23099897543577,62.23099897543577,62.997926641909544,62.997926641909544,198.06533344282897,198.13321759737337,-0.06788415454440155,-0.3192841372659495,0.5027999654430959
2013-01-31,201.0,204.75,200.0,203.899994,186.429199,3606914,203.29,6055.75,1498.109985,13860.580078,3142.1298829999996,0.75,4.75,47.44744275807029,207.277,188.813,198.04500044999997,,199.00450928394292,0,0,0,0,0,0,0,0,0.018227180486237504,0.0009669743458178282,-0.002563301352878078,-0.0035829144108852073,-5.733870834423449e-05,1.0,18.8497043019499,2013-01-31,194.57158602651973,Thursday,2,200.25,4.75,5.398934594216014,7.692359902526789,92.30764009747321,72.42697438644242,72.42697438644242,65.62965744577131,65.62965744577131,86.02160826778464,86.02160826778464,198.98264567923266,198.64807416195578,0.33457151727688483,-0.18773648608382934,1.0446160067214283
2013-02-01,203.899994,205.449997,198.0,198.800003,181.766205,3083284,201.48,6034.75,1513.170044,14009.790038999998,3179.100098,0.0,7.449996999999996,43.32723272026836,206.114,189.246,197.68000029999996,,198.98503249499598,0,0,0,0,0,0,0,0,-0.025012144154521576,-0.003467778557569301,0.010052705843222709,0.010765058905206182,0.011765972883559517,0.0,7.212728188749614,2013-02-01,194.45253039146195,Friday,0,203.899994,7.449996999999996,5.5780061339774,56.59569361702121,43.40430638297879,62.75275171862121,62.75275171862121,64.67068887005462,64.67068887005462,58.91687741575441,58.91687741575441,198.95402749627138,198.66143517246152,0.2925923238098562,-0.09121491386758436,0.7676144753548811
2013-02-04,199.0,201.300003,195.600006,197.0,180.120422,2462324,197.66,5998.899902,1495.709961,13880.080078,3131.169922,0.1999969999999962,5.699996999999996,43.68662692348032,205.257,189.418,197.33749999999992,,198.79598178118684,0,0,0,0,0,1,0,0,-0.009054394902506924,-0.005940610298686755,-0.011538744815384416,-0.009258522835739469,-0.015076648901414913,0.0,1.5241523088138789,2013-02-04,194.1353214984568,Monday,1,198.800003,5.699996999999996,5.588490287873961,71.91486808510635,28.08513191489365,51.19687845071202,51.19687845071202,60.17941873027375,60.17941873027375,33.23179789158857,33.23179789158857,198.64872006393745,198.5173229331743,0.13139713076313342,-0.04652366618131982,0.35584159388890646
2013-02-05,193.5,203.600006,192.0,202.050003,184.737732,4550558,198.45,5987.25,1511.290039,13979.299805,3171.580078,-3.5,11.600006000000008,50.04351873692112,205.266,189.414,197.34000014999992,,199.10588856393096,0,0,0,0,1,0,0,0,0.02563457240845235,-0.0019420063995593262,0.010416510156543657,0.007148354075944052,0.012905769091633434,1.0,-13.200045280113013,2013-02-05,193.66882427022975,Tuesday,3,197.0,11.600006000000008,6.097741659345829,25.27877143764414,74.72122856235586,59.038328487926634,59.038328487926634,59.79905531615804,59.79905531615804,57.516874831463824,57.516874831463824,199.17888233536974,198.8199137503138,0.35896858505594764,0.0348206321223781,0.6482959058671391
2013-02-06,203.0,206.850006,202.699997,206.300003,188.623581,4347680,204.82,5956.899902,1512.119995,13986.519531,3168.47998,0.9499969999999962,4.150009000000011,58.20106561966784,206.681,188.929,197.80500029999993,,199.79104231974705,0,0,0,0,0,0,0,0,0.021034408931684956,-0.005069121549960309,0.0005491705619586895,0.0005164583420278479,-0.0009774616827442628,1.0,-4.149517569143643,2013-02-06,193.51017858129106,Wednesday,4,202.050003,4.800003000000004,5.989248027321786,3.703722409270431,96.29627759072957,71.4576448555276,71.4576448555276,63.68525182928122,63.68525182928122,87.00243090802037,87.00243090802037,200.28661713118834,199.4532840478568,0.8333330833315244,0.1949101951766616,1.2768457763097256
2013-02-07,205.800003,205.800003,199.0,199.949997,182.817657,1915201,202.48,5959.200195,1509.390015,13944.049805,3165.1298829999996,-0.5,6.800003000000004,57.09342632391888,206.661,189.769,198.21500014999992,,199.80618086072352,0,0,0,0,0,0,0,0,-0.030780478078188955,0.0003861560606763792,-0.0018053990483738458,-0.003036475651134518,-0.0010573199203235406,0.0,-79.70994427557295,2013-02-07,193.3428431641941,Thursday,2,206.300003,7.300003000000004,6.09751190043574,46.46468829709569,53.53531170290431,65.48353380465316,65.48353380465316,64.2846791544052,64.2846791544052,67.88124310514908,67.88124310514908,200.23434316064277,199.4949016511061,0.7394415095366753,0.30402752165401753,0.8708279757653156
2013-02-08,193.5,196.25,188.050003,189.550003,173.30874599999999,6564252,191.6,5938.799805,1517.930054,13992.969727000002,3193.8701170000004,-6.449996999999996,8.199996999999996,52.50597530203719,205.965,190.78,198.37250059999994,,198.8294020168451,0,1,0,0,0,1,0,0,-0.0520130886482153,-0.003423343625394093,0.005657940568793318,0.0035083008655389936,0.009080270024419912,0.0,15.193651102502919,2013-02-08,193.2131096289473,Friday,0,199.949997,11.899993999999992,6.571483736141996,92.02127786894502,7.978722131054977,46.3152632467871,46.3152632467871,58.29487385186583,58.29487385186583,22.356042036629646,22.356042036629646,198.577557941858,198.6696727175975,-0.09211477573950333,0.2246762720640199,-0.6335820956070465
2013-02-11,189.850006,191.5,186.399994,188.399994,172.257294,1966209,189.09,5903.5,1517.01001,13971.240234,3192.0,0.3000030000000038,5.100006000000008,48.632965976564584,206.288,190.292,198.29000014999994,,197.83612506285985,0,1,0,0,0,0,0,0,-0.006066929824764755,-0.005943929103365275,-0.0006061175200896551,-0.0015528864439742218,-0.0005855332031338145,0.0,1.020693504121683,2013-02-11,192.8459209476009,Monday,1,189.550003,5.100006000000008,6.452507263413273,90.22005463859875,9.779945361401248,34.13682395165848,34.13682395165848,50.24219055179671,50.24219055179671,1.92609075138202,1.92609075138202,197.00128072849174,197.8250160488974,-0.8237353204056603,0.014734057696982748,-1.6769387562052862
2013-02-12,188.5,190.5,187.100006,188.899994,172.714462,2375288,188.69,5897.850098,1519.430054,14018.700195,3186.48999,0.10000600000000759,3.3999939999999924,41.39885426008984,206.871,188.799,197.83499984999995,,196.98506496163512,0,0,0,0,0,0,0,0,0.0026539834069376766,-0.0009570427712374263,0.0015952722685066423,0.003396975515781442,-0.0017261936090225971,1.0,-2.77310846150184,2013-02-12,192.36056656407098,Tuesday,3,188.399994,3.3999939999999924,6.208000857795428,87.77506829824844,12.22493170175156,26.832859868356174,26.832859868356174,42.4390803239832,42.4390803239832,-4.379581042897868,-4.379581042897868,195.74786535275956,197.09690544365478,-1.3490400908952154,-0.2582911631035077,-2.1814978555834155
2013-02-13,190.0,193.699997,188.949997,189.899994,173.62875400000001,2622264,191.46,5922.5,1520.329956,13982.910156,3196.8798829999996,1.1000060000000076,4.75,42.803723067508244,207.159,187.741,197.44999924999996,,196.31029629862223,0,0,0,0,0,0,0,0,0.0052936620906709475,0.004179472450200006,0.0005922628670078645,-0.002553021214674711,0.0032606074497663062,1.0,1.2665861909001512,2013-02-13,192.1795558521091,Wednesday,4,188.899994,4.800003000000004,6.0961897518216706,82.88509561754782,17.114904382452185,23.593541373054844,23.593541373054844,36.15723400700708,36.15723400700708,-1.5338438948496247,-1.5338438948496247,194.84388222452736,196.51415011173884,-1.6702678872114802,-0.5409104219708141,-2.2587149304813323
2013-02-14,190.199997,192.350006,189.0,190.800003,174.45166,1739029,191.24,5932.950195,1521.380005,13973.389647999998,3198.659912,0.3000030000000038,3.3500060000000076,41.210378377032484,207.061,186.924,196.99249954999993,,195.7855064606582,0,0,0,0,0,0,0,0,0.0047394569219796345,0.0017644905023217472,0.0006906717820405195,-0.000680867422717113,0.0005568019647739231,1.0,2.686020081005466,2013-02-14,191.9890392078608,Thursday,2,189.899994,3.3500060000000076,5.879838505621961,78.48407619516308,21.515923804836927,22.90100218364887,22.90100218364887,31.73849006588767,31.73849006588767,5.226026419171269,5.226026419171269,194.2192265638985,196.05462881133482,-1.8354022474363205,-0.7999729874722425,-2.070858519928156
